NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
934,E2710000826201,中浜中央公園,大阪府大阪市城東区中浜2-9,,,,1,1,,,,,34.68423084,135.5427645,
935,E2710000827201,白山公園,大阪府大阪市城東区中浜3-1,,,,1,1,,,,,34.68505143,135.5406,
936,E2710000829201,天王田・楠根公園,大阪府大阪市城東区天王田4,,,,1,,,,,,34.68995856,135.5530079,
937,E2710000832201,生活協同組合　おおさかパルコープ　東中浜店,大阪府大阪市城東区東中浜4-5-14,1,,,,,,,,,34.686329,135.549712,
938,E2710000833201,東中浜公園,大阪府大阪市城東区東中浜5-3,,,,1,1,,,,,34.68492612,135.5493368,
939,E2710000834202,東中浜小学校（運動場）,大阪府大阪市城東区東中浜5-4-5,,,,1,1,,,,1,34.68422835,135.5491825,
940,E2710000834201,東中浜小学校,大阪府大阪市城東区東中浜5-4-5,1,,,,1,,,,1,34.68444155,135.5489125,
941,E2710000835201,千間川みどり公園,大阪府大阪市城東区東中浜6,,,,1,1,,,,,34.68112838,135.5505524,
942,E2710000836201,天王田公園,大阪府大阪市城東区東中浜7-1,,,,1,1,,,,,34.68771396,135.5520792,
943,E2710002953201,ファミールハイツ城東,大阪府大阪市城東区放出西1-2-51,1,,,,,,,,,34.694953,135.55364,
944,E2710000838201,西放出公園,大阪府大阪市城東区放出西2-15,,,,1,1,,,,,34.69276976,135.5575554,
945,E2710000840202,放出小学校（運動場）,大阪府大阪市城東区放出西2-2-18,,,,1,1,,,,1,34.69483676,135.5551981,
946,E2710000840201,放出小学校,大阪府大阪市城東区放出西2-2-18,1,,,,1,,,,1,34.69465298,135.5556147,
947,E2710000841201,放出中学校,大阪府大阪市城東区放出西3-12-10,1,,,,1,,,,1,34.69042597,135.5578405,
948,E2710000841202,放出中学校（運動場）,大阪府大阪市城東区放出西3-12-10,,,,1,1,,,,1,34.69023925,135.557263,
949,E2710000842201,市営放出西住宅６号館,大阪府大阪市城東区放出西3-15,1,,,,1,,,,,34.69025178,135.5589959,
950,E2710000842202,市営放出西住宅６号館,大阪府大阪市城東区放出西3-15,1,,,,1,,,,,34.69035764,135.5590013,
951,E2710000843201,市営放出西住宅５号館,大阪府大阪市城東区放出西3-16,1,,,,1,,,,,34.69095104,135.5588279,
952,E2710000844201,放出西三公園,大阪府大阪市城東区放出西3-20,,,,1,1,,,,,34.6911847,135.5583358,
953,E2710002947201,ファーストパレス,大阪府大阪市城東区放出西3-6-1,1,,,,1,,,,,34.690674,135.555593,
954,E2710000845201,野江公園,大阪府大阪市城東区野江1-15,,,,1,,,,,,34.70126772,135.5407762,
955,E2710000846201,市営野江第２住宅３号館,大阪府大阪市城東区野江1-18,1,,,,1,,,,,34.70073834,135.5398369,
956,E2710000847201,市営野江第２住宅２号館,大阪府大阪市城東区野江1-19,1,,,,1,,,,,34.70082655,135.5393863,
957,E2710000848201,市営野江第２住宅１号館,大阪府大阪市城東区野江1-20,1,,,,1,,,,,34.70031054,135.5390966,
958,E2710000849201,市営野江住宅１号館,大阪府大阪市城東区野江1-8,1,,,,1,,,,,34.701975,135.5380363,
959,E2710000850201,開明高等学校（運動場）,大阪府大阪市城東区野江1-9-9,,,,1,,,,,1,34.70101399,135.5381358,
960,E2710000851201,榎並公園,大阪府大阪市城東区野江2-15,,,,1,,,,,,34.70353607,135.5394308,
961,E2710000852201,榎並小学校,大阪府大阪市城東区野江4-1-28,1,,,,1,,,,1,34.70928222,135.5396726,
962,E2710000852202,榎並小学校（運動場）,大阪府大阪市城東区野江4-1-28,,,,1,,,,,1,34.70914405,135.5392184,
963,E2710000853201,明治東洋医学院専門学校,大阪府大阪市吹田市西御旅町7-53,1,,,,,,,,,34.749031,135.523506,
964,E2710000854201,市営田島住宅１号館,大阪府大阪市生野区舎利寺2-12-20,1,,,,,,,,,34.64848855,135.5385905,
965,E2710000855201,もと生野小学校,大阪府大阪市生野区舎利寺3-1-39,1,,,,,,,,1,34.648152,135.536102,
966,E2710000855202,もと生野小学校（運動場）,大阪府大阪市生野区舎利寺3-1-39,,,,1,1,,,,1,34.64787691,135.536415,
967,E2710002873201,舎利寺公園,大阪府大阪市生野区舎利寺3-9,,,,1,1,,,,,34.648039,135.537886,
968,E2710002881201,勝山西公園,大阪府大阪市生野区勝山南1-13,,,,1,1,,,,,34.65329,135.528473,
969,E2710000858202,勝山小学校（運動場）,大阪府大阪市生野区勝山南1-3-5,,,,1,1,,,,1,34.65367761,135.5277908,
970,E2710000858201,勝山小学校,大阪府大阪市生野区勝山南1-3-5,1,,,,,,,,1,34.65386441,135.5274725,
971,E2710002861201,大阪偕星学園高等学校（運動場）,大阪府大阪市生野区勝山南2-6-38,,,,1,1,,,,1,34.652372,135.530094,
972,E2710000860201,大阪府立桃谷高等学校（運動場）,大阪府大阪市生野区勝山南3-1-4,,,,1,1,,,,1,34.65378646,135.5333388,
973,E2710000859201,市営勝山南住宅１号館,大阪府大阪市生野区勝山南3-11,1,,,,,,,,,34.65260282,135.533777,
974,E2710000861201,御勝山南公園,大阪府大阪市生野区勝山南3-3,,,,1,1,,,,,34.6535937,135.5359356,
975,E2710000863202,もと舎利寺小学校（運動場）,大阪府大阪市生野区勝山南4-15-25,,,,1,1,,,,1,34.65224571,135.5392806,
976,E2710000863201,もと舎利寺小学校,大阪府大阪市生野区勝山南4-15-25,1,,,,,,,,1,34.65222971,135.5388179,
977,E2710000864201,舎利寺中央公園,大阪府大阪市生野区勝山南4-5,,,,1,1,,,,,34.65299668,135.5392029,
978,E2710002880201,勝山北公園,大阪府大阪市生野区勝山北1-11,,,,1,1,,,,,34.654917,135.529841,
979,E2710000865201,プール学院（運動場）,大阪府大阪市生野区勝山北1-19-31,,,,1,1,,,,1,34.65533791,135.5286715,
