NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
540,E2710001593121,高倉地域在宅サービスステーション　からまつ,大阪府大阪市都島区御幸町2-10-12,,,要配慮者,34.71681021,135.534925,
541,E2710001594121,あかまつ園,大阪府大阪市都島区御幸町2-10-23,,,要配慮者,34.71662668,135.5349081,
542,E2710001601121,生活リハビリ館　デイサービスセンター,大阪府大阪市都島区高倉町3-2-31,,,要配慮者,34.71779543,135.5319253,
543,E2710001602111,高倉小学校,大阪府大阪市都島区高倉町3-3-10,1,,,34.71865988,135.5331981,
544,E2710001605111,都島工業高等学校,大阪府大阪市都島区善源寺町1-5-64,1,,,34.71070934,135.5256417,
545,E2710002855121,そんぽの家　城北,大阪府大阪市都島区大東町3-5-19,1,,要配慮者,34.726978,135.52858,
546,E2710001607121,介護老人保健施設　東雄苑都島,大阪府大阪市都島区中野町1-13-12,,,要配慮者,34.70124099,135.5239368,
547,E2710001609111,中野小学校,大阪府大阪市都島区中野町3-10-5,1,,,34.70286952,135.5242351,
548,E2710001610111,都島中学校,大阪府大阪市都島区中野町3-9-33,1,,,34.70277375,135.5255613,
549,E2710001611121,大阪市立都島区老人福祉センター,大阪府大阪市都島区中野町4-2-24-108,,,要配慮者,34.70171901,135.5238359,
550,E2710001612121,軽費老人ホーム　ラフォーレからまつ,大阪府大阪市都島区中野町5-10-60,,,要配慮者,34.70655965,135.5243308,
551,E2710001613122,特別養護老人ホーム　からまつ苑,大阪府大阪市都島区中野町5-10-70,,,要配慮者,34.70651768,135.5239444,
552,E2710001613121,中野地域在宅サービスステーション　からまつ,大阪府大阪市都島区中野町5-10-70,,,要配慮者,34.70643712,135.5239791,
553,E2710001616121,介護老人保健施設　桜の宮苑,大阪府大阪市都島区都島中通1-7-1,,,要配慮者,34.70492535,135.5283207,
554,E2710001623121,特別養護老人ホーム　青都荘,大阪府大阪市都島区都島中通3-14-20,,,要配慮者,34.70487217,135.5359023,
555,E2710001624121,デイサービスフレッシュケアー,大阪府大阪市都島区都島中通3-5-14,,,要配慮者,34.7035259,135.5358413,
556,E2710001627121,とどまつ園,大阪府大阪市都島区都島北通2-12-25,,,要配慮者,34.71001829,135.5316747,
557,E2710001630111,都島小学校,大阪府大阪市都島区都島本通3-10-3,1,,,34.70715535,135.52757,
558,E2710001632121,特別養護老人ホーム　ひまわりの郷,大阪府大阪市都島区都島本通4-10-19,,,要配慮者,34.70707909,135.531805,
559,E2710001634111,東都島小学校,大阪府大阪市都島区都島本通4-24-20,1,,,34.70829044,135.5337788,
560,E2710001636111,桜宮小学校,大阪府大阪市都島区東野田町1-10-19,1,,,34.69660089,135.5274501,
561,E2710001640111,東高等学校,大阪府大阪市都島区東野田町4-15-14,1,,,34.69945307,135.5286258,
562,E2710001642111,桜宮中学校,大阪府大阪市都島区東野田町5-16-10,1,,,34.70167076,135.5366841,
563,E2710001644121,生活訓練施設　加光,大阪府大阪市都島区東野田町5-5-16,,,要配慮者,34.69956365,135.5350015,
